country,fullname,points,rank,region
Australia,JACK CLARK,3643,249,Oceania
United States,PARKER JAX,3661,250,North America
Spain,GENÍS SANTOS CUNILLERA,3668,251,Europe
United Kingdom,DAN TAI,3670,252,Europe
Sweden,MAX OLIVESTRAND,3671,253,Europe
Canada,DAMIAN CONCIATORI,3674,254,North America
Canada,JOE SCALI,3695,255,North America
United States,CHASE HILL,3700,256,North America
Greece,DIMITRIS FOTIOU,3701,257,Europe
United States,JORDAN LUNDIN,3707,258,North America
United States,TRAVIS WILLIAMS,3738,259,North America
United States,WILL BENNETT,3753,260,North America
United States,GRANT BELROSE,3761,261,North America
United States,JORGE FERNANDEZ,3770,262,North America
United States,WILL CARTER,3813,263,North America
South Africa,JASON SMITH,3828,264,Africa
Australia,JAKE STANDEN,3837,265,Oceania
Switzerland,ADRIAN MUNDWILER,3849,266,Europe
Uruguay,ROLO GOMEZ,3851,267,South America
Italy,IURII MARINCENCO,3880,268,Europe
United States,TRISTAN MAIORANO,3910,269,North America
Australia,RYAN WOODALL,3916,270,Oceania
United States,NICK BLOCH,3918,271,North America
Norway,NICOLAY BILLAUDEL,3921,272,Europe
Germany,RENE BETZHOLZ,3924,273,Europe
United States,MARSHALL CREED,3935,274,North America
Canada,ANDREW WINSOR,3941,275,North America
Switzerland,JONAS MUELLER,3944,276,Europe
Ukraine,DANYLO BLOSHCHUK,3991,277,Europe
Peru,LUKAS OZAKI,4014,278,South America
France,VICTORIEN CHAMPION,4029,279,Europe
Mexico,MANUEL GALLEGOS,4051,280,North America
United States,HENRY MATTHEWS,4055,281,North America
Kyrgyzstan,DENIS SAMSONOV,4062,282,Asia
Mexico,PEPE BARRERA,4080,283,North America
Brazil,GUILHERME DOMINGUES,4117,284,South America
United States,CJ GERALD,4118,285,North America
United States,AARON KNISLEY,4135,286,North America
United States,FRANK MASTROIANNI,4177,287,North America
Spain,GABI CASTRO,4178,288,Europe
Finland,LUDVIG HAHNSSON,4190,289,Europe
Australia,REILLY SMITH,4192,290,Oceania
Italy,MAURO CORRIGA,4206,291,Europe
Portugal,JOÃO FERREIRA,4211,292,Europe
United States,BOBBY WALLUM,4212,293,North America
United States,CLAY FARIS,4229,294,North America
United States,JACOB SCHMIDT,4233,295,North America
United States,NORMAN WOODRING,4244,296,North America
United States,JUSTIN RHODES,4248,297,North America
United States,COLLIN GARNEK,4249,298,North America
Australia,BRANDON SWAN,4251,299,Oceania
Mexico,RAFAEL SANCEN,4281,300,North America
Canada,SAMUEL PAQUIN,4299,301,North America
Ireland,PD SAVAGE,4299,301,Europe
United States,CASEY MCCALLISTER,4300,303,North America
United States,DUSTIN MCWILLIAMS,4301,304,North America
United States,ANDRIS STURANS,4317,305,North America
Australia,KOSTA ILIC,4327,306,Oceania
United States,BRIAN HARRIS,4340,307,North America
France,GAUTHIER LACROUX,4345,308,Europe
United States,MICHAEL EVANS,4347,309,North America
Mexico,SAMUEL ARAIZA,4352,310,North America
Italy,TIZIANO CORRIGA,4353,311,Europe
Spain,JESUS LORENTE,4370,312,Europe
Australia,REES MACHELL,4386,313,Oceania
Italy,TOMMASO PIERI,4390,314,Europe
Slovenia,ROK DERNIKOVIC,4398,315,Europe
United States,SAM COLTHARP,4399,316,North America
New Zealand,MICHAEL MIKAERE,4411,317,Oceania
Iran,MORTEZA SEDAGHAT,4419,318,Asia
United Kingdom,JAMES ST LEGER,4422,319,Europe
Spain,PEDRO CRESPO DELGADO,4428,320,Europe
United States,HOLGER SCHWARTZ,4458,321,North America
Canada,BENOÎT BOULANGER,4465,322,North America
United States,JOSHUA MATTES,4477,323,North America
Canada,FÉLIX-ANTOINE LEMAY,4487,324,North America
United States,BLAKE SAMA,4496,325,North America
United States,KOLTON O'DAY,4509,326,North America
Canada,AUSTIN EVANS,4510,327,North America
Russian Federation,IGNATY CHOMCHOEV,4515,328,Asia
Italy,STEFANO DI FRANCESCO,4529,329,Europe
Czech Republic,MARTIN FEIFERLÍK,4531,330,Europe
Chile,ESTEBAN CARVALLO,4546,331,South America
United States,WESLEY RETHWILL,4550,332,North America
United States,CARLOS ALBALADEJO,4551,333,North America
France,ALEXANDRE JOLIVET,4555,334,Europe
United States,ZACHERY BUNTIN,4562,335,North America
United States,JAMES HOBART,4564,336,North America
Russian Federation,TIMOFEY PROLUBNIKOV,4570,337,Asia
Bulgaria,RADOSLAV IVANOV,4591,338,Europe
Brazil,LUIS FELIPE BASTOS LOPES PORTES,4600,339,South America
Sweden,ERIK BRORSSON,4602,340,Europe
United States,DEREK SALTOU,4610,341,North America
United States,ZACH WATTS,4614,342,North America
Sweden,EMIL VON GERBER,4616,343,Europe
Sweden,JOEL LUNDBLAD,4625,344,Europe
United States,MATT POULIN,4627,345,North America
Italy,GIOVANNI ANGELOZZI,4641,346,Europe
United States,JORDAN ROLAND,4643,347,North America
Canada,JEREMY VIGNEAULT,4653,348,North America
United States,ADRIAN CONWAY,4656,349,North America
Denmark,KLAUS HEBO UGGERHOJ,4668,350,Europe
United States,TRISTAN FAURE,4683,351,North America
United States,JUSTIN RICHARDSON,4688,352,North America
Italy,STEFANO CAROSSO,4696,353,Europe
Poland,WOJCIECH SULIMA,4706,354,Europe
United States,GUIDO TRINIDAD,4725,355,North America
United States,BRANDON HORNBACK,4737,356,North America
United States,BEN DAVIDSON,4738,357,North America
Spain,XEVI SERRA,4739,358,Europe
United States,ANGELO BRUSSICH,4747,359,North America
Greece,KONSTANTINOS PAPADOPOULOS,4752,360,Europe
Portugal,ANDRÉ TERESINHO,4760,361,Europe
Uruguay,JUAN MANUEL SEITUN,4771,362,South America
United States,LUKE PARKER,4780,363,North America
Germany,JOHN SCHAEFFER,4782,364,Europe
United States,NICK PETERSEN,4792,365,North America
Greece,MIKE DIMITRAKOPOULOS,4798,366,Europe
United States,QUINN ROBINSON,4800,367,North America
United States,JAIME BIGORNIA,4801,368,North America
Canada,DOMINIC TREPANIER,4823,369,North America
Argentina,NICOLAS BIDARTE,4835,370,South America
New Zealand,STEPHEN MISCHEWSKI,4853,371,Oceania
Belgium,SVEN GEENS,4857,372,Europe
United States,JOSHUA GODINEZ,4865,373,North America
United States,KEITH RUSH,4870,374,North America
Canada,GAUDREAU NICOLAS,4894,375,North America
Slovakia,MARTIN KRUZLIC,4901,376,Europe
United States,GRAHAM WINCHESTER,4905,377,North America
Mexico,EDER CARRILLO,4905,377,North America
Mexico,GERMAN CASTRO,4906,379,North America
United States,RAFF SENCION,4909,380,North America
Ireland,JOHN WILLIAM,4913,381,Europe
New Zealand,GENSEN PALMER,4919,382,Oceania
Spain,BLAS RUIZ GONZALEZ,4945,383,Europe
United States,NOLAN CAVANAUGH,4945,383,North America
Australia,ANDREW SAMBELL,4947,385,Oceania
Sweden,OSCAR TYRBERG,4956,386,Europe
United States,AUSTIN BOLEN,4967,387,North America
Brazil,DIEGO SCHMIDT,4976,388,South America
France,MICKAEL WACH,5013,389,Europe
Costa Rica,DEREK ADAMS,5020,390,North America
United States,DANIEL KUC,5032,391,North America
Russian Federation,VADIM YUNKOV,5042,392,Asia
United States,JOSH WOODHULL,5047,393,North America
United States,DERICK SHODA,5051,394,North America
Germany,ROBERT DOPKE,5051,394,Europe
Denmark,DANIEL SKOV,5053,396,Europe
United States,MATT HEWETT,5054,397,North America
Finland,JOOSUA ESKELINEN,5073,398,Europe
Australia,DYLAN ROBERTS,5076,399,Oceania
Russian Federation,IGOR ZUEV,5078,400,Asia
Ukraine,ILLYA KARCHKOV,5090,401,Europe
China,YU-SEN ZHU,5092,402,Asia
Spain,PABLO CAZALIS,5106,403,Europe
"Korea, Republic of",JOOHWANG LEE,5114,404,Asia
Argentina,MARIANO BILBAO,5133,405,South America
United States,MICHAEL PALOMBA,5136,406,North America
"Korea, Republic of",SEUNGJONG KIM,5149,407,Asia
United States,JEREMY KANE,5158,408,North America
United States,SCOTT COTTRILL,5176,409,North America
Slovakia,PETER KOHUT,5179,410,Europe
Russian Federation,VLADIMIR SECHIN,5218,411,Asia
United States,DUSTY SULON,5226,412,North America
Canada,RICHARD DESCHAMPS,5233,413,North America
Russian Federation,VLADISLAV KARYAGIN,5240,414,Asia
South Africa,DARREN ZURNAMER,5242,415,Africa
Spain,AINGERU SETIEN,5243,416,Europe
Russian Federation,ILYA MAKAROV,5255,417,Asia
United States,KENNETH PROVOST,5257,418,North America
New Zealand,JACK LAKER,5277,419,Oceania
United States,RYAN SCHAFER,5280,420,North America
United States,JOHN WESTBROOK,5309,421,North America
Tunisia,ALEXANDRE BRADLEY,5343,422,Africa
Canada,JOHNNY HUNKA,5361,423,North America
Norway,ANDERS GRONSUND,5396,424,Europe
Canada,MICHAEL SPINETI,5399,425,North America
United States,JUSTIN MILLER,5408,426,North America
United States,CORY SPELMAN,5417,427,North America
United States,RICHIE CARREL,5418,428,North America
United States,JACOB KIRBY,5445,429,North America
Ireland,MICHAEL SMITH,5456,430,Europe
United States,JUSTIN REIDELBACH,5457,431,North America
United States,ALEX BOZENHARD,5494,432,North America
Canada,YANN ST-JACQUES,5496,433,North America
South Africa,BAREND SMIT,5502,434,Africa
France,GUILLAUME MAGNOUAT,5506,435,Europe
"Korea, Republic of",KANG KYUNGSUN,5519,436,Asia
Czech Republic,JAN HANAK,5522,437,Europe
United States,HARRISON RIGGS,5525,438,North America
France,CLEMENT JORIS,5546,439,Europe
Canada,JEREMY LANCTOT,5546,439,North America
Italy,CRISTIAN RECHICHI,5568,441,Europe
Australia,NATHAN CORDEN,5569,442,Oceania
Canada,CONOR OAKLEY,5592,443,North America
United States,KYLE PETERSON,5594,444,North America
United States,JOHN COLTEY,5600,445,North America
South Africa,RICHARD WOLLBOLDT,5601,446,Africa
United States,JORDY GREMILLION,5608,447,North America
Australia,NICOLAS FUENTES,5611,448,Oceania
Spain,FERNANDO LLANEZA PARDILLOS,5631,449,Europe
Guatemala,JOEL BRAN,5653,450,North America
Brazil,LEONARDO VERAS,5656,451,South America
Serbia,LUKA VUNJAK,5660,452,Europe
China,CHEN SHENG,5670,453,Asia
United States,BRETT GRELLE,5683,454,North America
United Kingdom,MAX CAMOZZI,5685,455,Europe
Argentina,LAGO GUIRALDES,5721,456,South America
Australia,THOR HAJNAL,5728,457,Oceania
United States,ANDREW LIZOTTE,5738,458,North America
United States,RYAN HAYNES,5743,459,North America
United States,ROBERT WAGNER,5751,460,North America
Italy,ENRICO ZENONI,5752,461,Europe
United Kingdom,PAUL MELLORS,5754,462,Europe
United States,TOLA MORAKINYO,5755,463,North America
Canada,PAUL TREMBLAY,5756,464,North America
United States,VICENTE AZUA JR,5758,465,North America
Mexico,JOSE GARCIA LARRONDO,5759,466,North America
United States,JEREMY LANCASTER,5769,467,North America
United Kingdom,JAMIE MARTIN,5774,468,Europe
Canada,FRÉDÉRIC DUBÉ,5777,469,North America
United States,BRIAN HUYNH,5778,470,North America
United States,TOBY JOHNSON,5778,470,North America
Spain,ADRIAN MAGALLON,5778,470,Europe
Portugal,HUGO SOUSA,5779,473,Europe
United States,RONNIE MINERVINI,5781,474,North America
United States,MAX KUTLER,5784,475,North America
South Africa,RUAN DUVENAGE,5785,476,Africa
United States,CHAD KACKERT,5790,477,North America
United States,KEVIN SCHUETZ,5796,478,North America
Spain,JAVIER HEREDIA NOGUEROL,5813,479,Europe
United Kingdom,JACK TURNER,5845,480,Europe
Morocco,HAMZA MAHIR,5852,481,Africa
United States,ADAM JOSEPH,5858,482,North America
Belgium,JELLE HOSTE,5881,483,Europe
United States,RANDY SANTANA,5899,484,North America
United States,AUSTIN MALLEOLO,5900,485,North America
"Korea, Republic of",SEOKBEOM KIM,5919,486,Asia
Italy,EMANUELE BIVIANO,5919,486,Europe
Germany,LEON HUFFER,5925,488,Europe
Israel,YOGEV MELLER,5926,489,Asia
New Zealand,DANIEL GROOT,5956,490,Oceania
United States,RICHARD PAUL CASTILLO,5965,491,North America
Germany,KONSTANTIN GATKE,5966,492,Europe
United States,AUSTIN MORGAN,5973,493,North America
France,JULIEN LOPEZ,5976,494,Europe
United States,CASEY STRONG,5984,495,North America
Brazil,LUIZ FELIPE OLIVEIRA,5986,496,South America
Australia,ZAC THOMAS,6018,497,Oceania
United Kingdom,SAMMY WRIGHT,6061,498,Europe
United States,MARSHALL KLITZKE,6074,499,North America
United States,RAYMOND FLESER,6078,500,North America
United Kingdom,KURTIS JACKSON,6088,501,Europe
Spain,ROBERTO MOLINA,6095,502,Europe
Uruguay,GUILLERMO NIELLI,6096,503,South America
United States,LOGAN FREY,6099,504,North America
Serbia,MILOS JOVIC,6101,505,Europe
Canada,RAPHAEL MAHEUX,6110,506,North America
France,DUMONT JEREMY,6110,506,Europe
Italy,ANDREA RUSSO,6123,508,Europe
Brazil,VINICIUS STOELBEN,6127,509,South America
Sweden,TIM HOLMGREN,6140,510,Europe
United States,JOE CATES,6151,511,North America
Australia,JOHANN VAN ZYL,6175,512,Oceania
United States,CASEY VIATOR,6185,513,North America
Spain,ALEJANDRO OCANA GARCIA,6191,514,Europe
Mexico,DANIEL HARO,6196,515,North America
Brazil,GILSON DUARTE,6200,516,South America
United States,JAYLOND FRANKLIN,6213,517,North America
United States,SETH PROCHAZKA,6214,518,North America
United States,CAMERON RANDALL,6220,519,North America
South Africa,JUSTIN SWART,6235,520,Africa
Italy,ANDREA FERRERO,6235,520,Europe
Australia,ROYCE DUNNE,6245,522,Oceania
United States,SELVAN RAMJATTAN,6248,523,North America
Spain,ALEXANDER ANASAGASTI,6273,524,Europe
"Korea, Republic of",YOUNGSAN CHOI,6285,525,Asia
France,OLIVIER BONINO,6293,526,Europe
United Arab Emirates,MAHMOOD SHALAN,6298,527,Asia
United States,BRYAN WONG,6311,528,North America
Germany,ODO FEDEROLF,6318,529,Europe
United Kingdom,STEVEN FAWCETT,6322,530,Europe
Mexico,ANTONIO BURGUETE,6332,531,North America
United States,MARCO ALEJANDRO,6337,532,North America
United States,WILLIAM LEAHY,6340,533,North America
Portugal,RENATO MARTINS,6343,534,Europe
United States,ADAM OSMOE,6345,535,North America
Russian Federation,MAXIM MAKAROV,6353,536,Asia
United States,STEPHEN WALLACE,6357,537,North America
United States,MATT SHEA,6378,538,North America
Mexico,DIEGO FLORES,6388,539,North America
United Kingdom,SAM PARKIN,6393,540,Europe
United States,COLIN SCHMIDT,6395,541,North America
United States,JOSH MARUNDE,6409,542,North America
France,KÉVIN LORANT,6421,543,Europe
Canada,ADAM DE JONG,6428,544,North America
United States,DAN HARDIMAN,6457,545,North America
United Kingdom,STEFAN LITTLE,6475,546,Europe
"Korea, Republic of",KIM JINSAM,6478,547,Asia
Australia,JOHN CHAMPION,6481,548,Oceania
Canada,SIMON PAQUETTE,6481,548,North America
United States,CODY KEATHLEY,6486,550,North America
Lithuania,JULIUS JALOVECKAS,6493,551,Europe
Australia,COREY ALLEN,6497,552,Oceania
Denmark,VIKTOR MUENTER,6525,553,Europe
United States,COOPER BESOUGLOFF,6536,554,North America
Austria,MANUEL SCHRAMMEL,6539,555,Europe
Guatemala,YAGO FREIRE,6550,556,North America
Peru,JOVALDO MIRANDA,6557,557,South America
United States,CHRIS PAYE,6576,558,North America
United States,JAKE STULTS,6601,559,North America
Canada,ANDRICK FOURNIER,6606,560,North America
New Zealand,ASH ROOZENDAAL,6613,561,Oceania
United States,MATTHEW LEE,6616,562,North America
Canada,DAVID CASAULT,6618,563,North America
France,BISSON MAXIME,6621,564,Europe
United States,STEPHEN NEER,6621,564,North America
Russian Federation,ILYAS KULIEV,6667,566,Asia
Poland,MARIUSZ SUCHY,6670,567,Europe
United States,BRIAN YEUNG,6675,568,North America
Spain,JOSE MARIA ARRIAGA,6681,569,Europe
United States,KYLE PIGNATIELLO,6687,570,North America
United Kingdom,JAK CORNTHWAITE,6697,571,Europe
Mexico,JOSE DIAZ,6731,572,North America
Spain,CALUM CLEMENTS,6740,573,Europe
